"","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep2","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep2","PC3_RNA-Seq_siCtrl_Normoxia_rep1","PC3_RNA-Seq_siCtrl_Normoxia_rep2","PC3_RNA-Seq_siCtrl_Hypoxia_rep1","PC3_RNA-Seq_siCtrl_Hypoxia_rep2"
"LINC00304",3,3,5,4,0,1,0,0
"LINC00922",0,0,0,0,1,0,0,0
"NPW",22,35,7,3,6,8,4,0
"BRICD5",119,211,154,155,29,68,47,18
"PGP",1075,1383,1589,1880,171,420,351,105
"GREP1",25,10,11,6,1,1,0,0
"LINC00921",78,88,35,51,5,11,9,1
"LINC02175",12,8,5,0,5,11,2,3
"IL21R-AS1",11,20,4,11,0,3,2,0
"C16orf54",20,19,19,28,0,0,0,0
"INO80E",1514,2071,1550,1828,272,670,365,124
"HCCAT5",2,2,3,2,0,0,1,0
"PDPR2P",172,171,161,231,65,190,182,55
"NUDT7",157,149,58,79,10,37,34,7
"FBXL19-AS1",357,418,299,373,25,81,50,26
"ZNF843",17,24,28,26,1,3,0,0
"NHLRC4",23,26,52,52,1,2,2,2
"UQCC4",386,511,257,331,50,138,87,22
"PDXDC2P-NPIPB14P",1401,1714,1408,1555,53,160,128,38
"CLEC18C",9,9,8,5,0,1,1,0
"LINC00685",46,114,58,76,5,9,8,5
"LINC00469",0,0,0,1,0,0,0,0
"FADS6",0,0,1,1,0,0,0,0
"HID1",4640,6878,6210,6756,86,220,182,67
"TSEN54",363,649,354,461,126,347,167,50
"UBALD2",1858,2787,2028,2149,524,1520,1643,606
"LINC00868",0,0,0,0,1,0,0,0
"TMEM235",1,0,0,0,0,1,0,0
"CCDC57",3231,3863,2455,2679,74,140,103,34
"HEXD",298,623,356,395,37,83,48,16
"LOC284009",10,22,6,15,4,11,5,2
"VMO1",22,42,13,27,2,13,4,0
"C17orf58",280,400,432,454,99,207,204,85
"MILR1",35,44,18,26,95,231,224,76
"RNF227",389,529,513,569,18,43,58,27
"LINC00324",11,17,22,31,8,23,29,19
"CDRT4",114,138,136,159,24,68,84,25
"CCDC144BP",829,823,705,814,10,21,27,5
"KANSL1",2340,2703,2783,3346,839,2265,4739,1631
"CFAP97D1",6,5,6,9,1,1,5,1
"FAM171A2",33,87,79,59,108,225,181,69
"MEIOC",9,16,18,18,11,33,40,10
"TTLL6",277,327,645,707,11,49,28,5
"PICART1",0,4,4,19,10,42,53,22
"KRT18P55",8,3,0,0,0,2,2,0
"NEK8",257,422,201,212,15,22,15,2
"PIGW",1975,1940,1010,1350,90,214,180,64
"C17orf78",5,3,4,2,1,10,4,2
"YWHAEP7",2,2,1,3,1,3,1,1
"CISD3",2536,3773,2854,3098,202,544,352,127
"GSDMA",3,4,1,2,0,0,0,0
"SLC13A5",5,0,0,2,3,3,2,1
"TMEM102",56,103,122,123,42,80,150,68
"KRT42P",0,1,0,0,0,0,0,0
"CAVIN1",120,176,213,192,0,0,0,0
"FLJ36000",25,30,51,56,0,0,0,0
"SLC26A11",411,598,528,582,41,93,46,18
"ENDOV",147,222,155,171,64,177,109,61
"GDPD1",371,446,218,212,48,106,59,20
"NDUFAF8",1918,2601,1102,1235,152,377,234,92
"LINC00482",17,36,72,60,0,1,0,0
"LGALS9B",0,0,0,0,0,1,0,0
"METRNL",41,80,137,170,19,49,82,29
"DLGAP1-AS5",0,1,0,0,2,11,3,3
"LAMA1",637,748,147,197,139,390,332,122
"ANKRD20A9P",4,7,2,2,0,3,4,0
"CYP4F35P",1,2,0,0,0,9,5,0
"LOC284240",0,0,2,0,0,0,0,0
"CTDP1-DT",2,1,0,0,0,0,0,1
"KCTD1",902,1194,805,972,88,240,210,64
"DYNAP",0,0,0,0,6,11,11,6
"BOD1L2",0,0,0,0,0,0,1,0
"LINC00907",0,2,4,2,0,1,1,1
"SIGLEC15",1,2,2,1,4,23,26,11
"PTGR3",4186,4631,3614,3981,519,1570,1924,605
"SMIM21",0,2,0,0,0,0,0,0
"LINC00908",0,0,0,0,1,5,67,29
"HMSD",9,10,13,11,12,41,28,16
"SSC5D",47,70,32,31,1,5,10,1
"ZNF547",275,304,310,306,25,77,67,26
"ZIK1",592,530,667,823,16,37,32,14
"ZNF776",1662,1913,2005,2261,305,841,865,335
"ZSCAN1",0,6,2,5,0,0,0,0
"ZNF780A",1582,1440,1530,1784,132,377,319,112
"ACTMAP",1637,2097,1718,1836,104,323,347,113
"PRR19",67,123,117,138,0,0,0,0
"TMEM145",13,53,43,44,65,153,215,63
"CXCL17",4,6,0,2,0,0,0,0
"LOC284344",0,0,1,0,0,0,2,0
"ZNF575",48,59,38,17,3,4,4,0
"LYPD5",2,0,1,0,4,13,9,4
"ZNF283",430,415,315,390,82,178,146,43
"PPP1R37",364,535,397,422,115,310,189,81
"NKPD1",71,138,53,50,8,8,5,2
"TPRX1",0,0,0,0,1,0,0,0
"MAMSTR",6,24,6,9,11,20,6,1
"IZUMO1",1,6,9,4,0,0,2,0
"EMC10",4152,6641,3721,4302,726,2015,1323,488
"TMEM277P",17,13,5,21,1,1,1,0
"KLK9",0,0,0,0,0,0,1,0
"ZNF615",1054,1003,2096,2225,259,734,530,204
"ZNF841",1991,2031,2138,2358,228,682,912,327
"LOC284379",0,0,0,1,0,1,0,0
"ZNF561-AS1",605,699,753,907,15,44,22,16
"ZNF763",98,116,37,63,12,27,36,13
"ZNF844",1107,1092,521,619,143,374,217,66
"VSTM2B-DT",1,0,1,2,0,0,0,0
"SCGB2B2",27,38,34,63,1,2,1,0
"WDR62",810,935,1013,1104,92,200,194,60
"ZFP82",699,648,784,906,2,3,3,1
"ZNF790-AS1",305,370,328,367,0,0,0,0
"LOC284412",42,58,22,27,2,4,2,0
"VSTM1",0,0,0,0,0,1,0,0
"TMEM150B",0,0,1,2,2,4,4,1
"GARIN5B",0,0,2,1,0,0,1,0
"SMIM24",1,0,15,9,3,8,29,13
"MIR7-3HG",0,0,0,0,0,1,0,1
"SLC25A41",12,35,26,26,3,11,11,3
"MBD3L5",1,1,1,0,0,0,0,0
"NWD1",130,115,138,162,16,38,25,8
"SLC25A42",338,403,260,362,52,110,89,27
"LINC00663",133,194,92,114,8,10,11,5
"ZNF493",1216,1159,795,986,8,16,14,8
"CIMAP1D",22,26,11,23,3,5,2,2
"MIR23AHG",25,28,41,46,334,725,592,242
"ZNF875",2541,2992,2425,2728,82,283,209,75
"TAFA3",3,13,4,3,2,6,5,4
"RIIAD1",3,4,1,5,0,0,0,0
"THEM5",23,30,28,17,1,2,0,0
"C1orf167",69,101,106,123,5,13,13,3
"OR2L13",0,0,0,0,3,5,4,0
"SLC9C2",0,2,3,1,0,1,1,0
"CYP4A22",1,2,0,0,0,0,0,0
"LINC01226",1,2,1,0,0,0,0,0
"LINC02806",39,40,34,18,2,4,3,0
"NBPF15",1114,1456,1102,1188,306,761,712,256
"LINC00303",0,0,1,0,2,3,2,2
"LEMD1-DT",0,0,0,0,0,2,1,1
"SLC60A1-AS1",9,7,10,5,1,3,4,1
"PM20D1-AS1",5,8,1,2,63,156,135,50
"FAM41C",8,9,11,8,3,8,9,2
"LOC284600",1390,1521,2119,2189,7,26,17,19
"EEIG2",522,539,461,606,326,865,948,318
"SYPL2",1,1,1,3,15,32,15,2
"CYB561D1",572,853,462,526,141,323,200,91
"ANKRD34A",363,413,495,526,36,90,55,17
"RUSC1-AS1",1068,1461,971,1077,390,1000,772,278
"LINC02800",4,6,2,2,0,0,0,0
"LINC01686",1,1,0,0,3,2,1,1
"SMG7-AS1",35,37,42,33,5,12,12,2
"RSPO1",1,0,0,0,4,18,13,8
"EPHA10",435,764,295,319,24,66,37,11
"LINC01777",0,0,1,4,0,0,0,0
"SNHG28",0,2,1,0,7,12,13,4
"SPATA46",4,3,1,4,2,1,6,1
"ZNF326",3364,3865,3691,4027,450,1445,1191,391
"BTBD8",50,52,14,31,20,38,22,5
"RIMKLA",841,1151,3065,3468,160,338,2468,845
"SLC25A34",44,46,10,17,3,5,5,3
"ESPNP",16,16,7,25,0,1,3,3
"C20orf204",63,54,51,56,4,14,3,2
"LINC00494",1,0,0,0,3,7,7,1
"LINC01270",13,25,10,9,100,270,125,53
"LINC02910",16,10,2,6,0,0,0,0
"MIR646HG",49,92,35,46,1,0,1,0
"SIRPB2",0,1,1,0,2,3,3,2
"LOC284798",0,0,0,0,0,2,2,0
"FAM182A",6,2,2,3,0,2,3,1
"FRG1BP",763,749,721,780,13,41,37,17
"C20orf203",1,1,0,1,0,1,0,0
"LINC01697",51,32,481,584,0,0,0,0
"LINC00323",0,1,0,0,0,0,0,0
"LINC00319",1,1,4,2,1,1,2,1
"AATBC",35,38,41,50,13,35,13,4
"LINC02891",4,7,4,2,1,0,0,0
"MIF-AS1",3622,7357,6139,6983,2629,5548,3932,1520
"TTC28-AS1",328,371,233,283,32,84,67,18
"SEC14L4",0,0,0,0,29,82,58,21
"EPIC1",42,66,65,71,14,51,58,29
"RPL23AP82",198,282,212,246,59,168,133,57
"SH2D6",18,25,22,37,5,19,11,5
"LOC284950",1,0,1,4,0,0,0,0
"NT5DC4",50,64,37,54,25,109,78,30
"CCDC150",180,193,390,475,76,237,212,63
"RNF149",1317,1481,978,1122,495,1268,1816,614
"LINC01114",161,178,276,301,0,1,1,1
"ALKAL2",1,6,2,4,2,10,12,2
"CCDC141",965,983,1222,1772,1,6,10,1
"STARD7-AS1",120,166,107,135,50,115,97,38
"LINC00486",4,2,0,0,0,0,1,1
"STPG4",2,3,1,1,6,25,27,7
"ANAPC1P2",323,424,431,524,116,289,245,80
"LINC01305",0,2,0,2,0,0,0,0
"FAM240C",3,2,0,4,0,1,0,0
"LOC285097",23,30,27,19,0,0,0,0
"MED15P9",2,7,4,7,2,2,2,2
"AHCTF1P1",1940,1917,1955,2280,391,1112,1083,332
"DNAJC5G",0,0,6,3,0,1,1,1
"ERICH2",126,139,223,226,27,53,78,21
"IAH1",1965,2157,1668,2030,304,840,908,316
"FLJ33534",0,0,0,0,0,1,0,0
"CYP1B1-AS1",0,0,2,0,3,5,1,0
"HYCC2",586,653,706,817,251,553,643,190
"UNC80",76,75,48,43,10,28,29,7
"RUFY4",18,39,17,10,0,3,0,1
"PLGLA",6,5,3,5,3,4,7,2
"RGPD4",814,807,1202,1591,128,363,327,114
"LOC285191",3,12,15,16,0,0,0,0
"DUSP28",394,454,276,338,57,155,95,40
"TUSC7",0,0,0,0,0,0,2,1
"SLC9A9",60,84,22,30,22,65,24,6
"EOGT",746,861,574,650,85,291,257,105
"LINC00636",0,0,0,0,3,10,5,1
"EPHA6",715,853,654,812,16,52,85,30
"DNAJB8-AS1",2,0,0,2,0,0,0,0
"FBXW12",3,0,0,0,0,0,0,0
"C3orf38",1530,1598,1959,2427,314,804,926,295
"HTR3E",3,0,2,1,0,0,0,0
"ENTPD3-AS1",94,76,38,60,7,30,27,8
"ZNF619",5,5,6,9,89,264,134,46
"ZNF621",2339,2523,2775,3114,601,1646,1393,517
"RABL3",1803,1911,1161,1260,163,400,300,117
"LINC00877",0,1,0,2,11,37,18,5
"IGSF10",10,14,6,7,63,155,94,27
"C3orf33",283,418,205,282,23,58,19,8
"CCDC66",1368,1421,1080,1269,257,682,614,220
"SLC9C1",1,3,2,0,6,16,20,6
"TCAIM",3754,3918,2741,3058,319,860,989,398
"ZNF852",365,451,429,503,64,212,125,46
"ZNF660",8,0,5,5,1,4,3,0
"KIF9-AS1",60,69,44,47,21,41,21,4
"PDCL3P4",128,160,105,106,11,42,27,9
"SUMF1",1268,1904,1079,1190,352,923,931,421
"RPUSD3",639,1021,670,777,195,471,242,94
"PRRT3",151,296,137,129,52,104,45,22
"LINC00606",0,0,0,0,0,0,6,1
"LINC00620",0,1,0,0,2,0,0,0
"DPH3",874,1048,959,985,242,712,551,184
"C3orf70",90,97,60,73,103,297,227,106
"TPRG1",2,9,2,4,10,31,16,8
"LINC02028",3,5,2,2,3,2,0,1
"ALG1L9P",42,50,28,34,8,23,10,6
"LINC01091",0,3,0,4,2,0,1,0
"LOC285422",0,1,0,0,0,0,0,0
"IQCM",0,0,1,0,0,6,2,1
"DCAF4L1",27,33,37,46,1,7,12,1
"CYP4V2",1505,1692,777,961,44,125,63,32
"F11-AS1",0,0,0,3,0,0,0,0
"RPL34-DT",5,2,0,1,0,5,7,0
"CTBP1-AS",703,951,692,835,23,46,30,15
"JAKMIP1-DT",16,13,19,24,0,0,0,0
"DOK7",9,8,5,12,4,17,7,1
"LINC00955",0,0,0,1,0,0,0,0
"RNF212",13,23,3,9,0,0,0,0
"AGA-DT",51,88,24,34,5,22,13,3
"LINC01098",2,6,1,3,0,0,0,0
"GASK1B-AS1",1497,1922,849,947,4,12,0,0
"FAM13A-AS1",388,424,1072,1343,15,31,97,34
"GPRIN3",0,0,1,0,16,29,12,5
"COX18",1989,2056,2799,3695,239,625,543,156
"YIPF7",0,0,0,0,0,1,0,0
"FRYL",1961,1987,3417,4364,721,1906,2851,891
"RNF175",0,0,0,1,1,0,0,0
"SEPSECS-DT",74,115,36,35,17,43,30,15
"LINC01096",0,0,0,0,5,12,4,5
"FAM200B",3275,3510,2938,3369,403,1185,1131,390
"STPG2",15,15,9,18,4,5,5,2
"C4orf54",5,3,0,3,0,0,0,0
"LINC01019",16,26,48,44,0,0,0,0
"EFCAB9",1,0,0,1,0,1,4,0
"SH3PXD2B",844,1058,1564,1780,77,183,160,55
"LINC02995",2,3,1,3,0,0,1,1
"FAM153A",14,34,12,12,0,0,0,0
"ARL10",16,28,6,17,35,76,57,11
"KIAA0825",110,92,106,101,12,29,26,12
"GPR150",0,1,0,0,0,1,1,1
"DTWD2",999,973,895,1096,9,48,39,11
"RELL2",133,222,285,392,16,44,40,12
"NBPF22P",0,0,0,0,2,4,5,1
"IL12B-AS1",0,0,0,1,1,3,4,1
"LINC01845",0,0,0,0,2,0,6,1
"LINC02159",2,6,1,0,0,0,0,0
"RIMOC1",1395,1490,1431,1797,511,1321,1059,397
"LOC285638",19,18,12,14,2,10,13,6
"SLC36A3",1,1,0,0,3,4,8,0
"KIF4B",108,78,89,72,11,19,26,12
"LINC03122",0,0,0,5,0,0,1,0
"RNF180",236,246,268,249,81,249,194,70
"SREK1IP1",829,801,1261,1276,166,437,622,223
"ZNF454",385,422,457,570,0,0,2,0
"SPATA31J1",8,20,5,10,1,0,0,0
"LINC02112",1,0,1,0,0,0,1,0
"BASP1-AS1",0,0,0,0,2,6,8,3
"RGMB",2394,3049,2546,2620,445,1105,1137,379
"LINC00326",0,0,0,1,139,334,513,157
"PHACTR2-AS1",1,0,1,0,0,8,0,0
"CEP57L1",653,628,622,647,164,477,427,170
"PPIL6",487,475,355,428,32,112,67,35
"MROCKI",0,3,2,2,1,2,10,2
"LINC02880",4,2,2,1,0,0,1,1
"DCBLD1",847,917,808,936,330,913,817,259
"LOC285762",5,2,2,0,0,0,0,0
"LINC03066",1,1,0,0,0,0,0,0
"LY86-AS1",3,3,1,3,0,0,0,0
"CAGE1",6,6,5,5,3,13,5,4
"PACRG-AS1",0,0,0,0,1,3,4,0
"PRR18",0,2,0,1,1,1,0,0
"LOC285804",1,1,1,3,0,0,0,0
"LOC285819",5,8,1,4,2,13,2,3
"HLA-F-AS1",54,94,47,56,38,93,66,29
"LOC285847",49,74,39,50,4,10,7,4
"PNPLA1",1,1,4,5,4,3,7,3
"TREML4",0,0,2,1,0,1,1,0
"RPL7L1",9785,11288,7697,9064,1585,4022,3482,1230
"VSTM2A-OT1",0,1,0,1,0,0,0,0
"CNPY1",0,0,0,0,1,3,0,0
"LOC285889",1,2,1,3,0,0,0,0
"INTS4P1",106,99,74,93,34,86,67,18
"LINC00174",379,564,340,318,4,22,12,3
"LINC02860",0,0,1,4,0,1,1,0
"HOXA-AS2",5,4,4,0,14,28,33,19
"INHBA-AS1",0,0,0,0,12,29,49,14
"SPDYE1",110,136,142,165,34,53,24,14
"SNHG15",448,618,394,428,24,67,39,9
"SEPTIN7P9",7,9,5,4,2,7,12,3
"WEE2-AS1",136,157,138,111,5,8,4,2
"EPHA1-AS1",1,2,3,3,1,4,0,1
"TCAF2",60,94,597,628,42,133,1039,406
"ZNF775",98,207,96,115,21,54,57,22
"LINC00996",1,5,0,1,0,0,0,1
"ATG9B",119,136,371,356,3,9,4,3
"DLX6-AS1",4,0,0,0,0,0,2,0
"ZNF789",811,920,504,554,97,217,141,46
"SLC26A4-AS1",29,29,26,47,3,7,7,6
"LSMEM1",124,142,125,152,14,38,53,17
"TPI1P2",160,151,123,136,17,46,117,36
"FAM86B3P",75,117,65,78,4,13,3,4
"XKR6",68,79,57,62,19,57,49,10
"NSMCE2",756,956,640,723,354,922,1069,341
"TNFRSF10B-AS1",4,7,1,2,2,7,7,2
"ZNF707",129,230,200,223,19,57,44,11
"LINC02878",5,2,1,5,0,2,0,0
"FAM83H",5113,7817,6003,6552,160,397,229,84
"LOC286083",0,0,0,1,0,0,0,0
"LINC01591",0,0,0,1,0,1,1,0
"MICU3",588,609,539,568,28,71,65,32
"ZNF252P",1705,1775,1758,2051,647,1916,1444,545
"TMED10P1",211,256,187,202,201,461,339,159
"ZNF252P-AS1",50,70,38,49,9,25,11,5
"LINC02153",0,3,0,0,0,0,0,0
"LY6S-AS1",0,0,2,2,0,0,0,0
"ZFP41",727,924,845,925,96,234,158,46
"SCARA5",2,1,5,5,13,28,15,4
"LINC02209",1,2,0,0,2,1,0,0
"RNF5P1",55,95,63,76,44,111,106,37
"TRIQK",2360,2340,1945,1955,262,731,889,318
"DPY19L4",1170,1232,1031,1207,766,2279,2573,918
"FBXO43",66,63,16,17,98,260,244,85
"LOC286177",2,3,2,0,0,0,0,0
"LINC03018",4,7,2,1,0,1,1,0
"NKAIN3",5,2,0,1,1,6,11,0
"LINC01289",0,0,0,0,0,1,0,1
"PPP1R42",0,2,1,0,1,2,0,0
"C8orf34-AS1",32,71,19,30,0,0,0,0
"LACTB2-AS1",581,658,359,390,74,165,117,38
"CRB2",38,60,39,52,0,4,5,3
"SCAI",956,1016,636,732,256,687,697,280
"CFAP157",201,299,167,189,32,63,17,17
"LINC02843",0,0,0,0,0,2,0,0
"LCN12",154,179,193,191,8,13,9,3
"PAXX",250,475,206,255,130,298,106,52
"TPRN",688,913,506,606,75,204,116,39
"LOC286297",1,2,0,1,10,26,29,11
"TUSC1",472,509,491,555,139,317,245,112
"FAM225A",9,8,4,2,58,134,100,29
"FAM78A",213,290,154,175,31,51,18,6
"LURAP1L",15,26,10,5,63,190,210,50
"LOC286359",0,0,0,0,2,1,1,1
"OR13C9",0,0,0,0,0,2,1,0
"MIR4290HG",1,0,0,1,0,0,0,0
"FOXD4L3",55,58,65,101,2,7,5,2
"ATP11C",1280,1219,2242,2552,319,895,911,289
"LINC00632",0,3,1,1,9,36,19,5
"NLRP2B",0,0,0,0,0,1,0,0
"H2BW2",2,0,2,3,1,2,2,0
"LOC286437",176,224,103,94,17,43,32,4
"LINC01281",0,0,0,0,0,0,0,1
"YIPF6",6713,7093,6644,7534,504,1364,1583,500
"CFAP47",54,55,9,5,7,7,3,1
"FIRRE",90,73,83,100,3,11,4,2
"UBE2E4P",119,176,156,148,54,146,174,60
"TTC3P1",426,499,367,426,17,44,65,15
"FAM133A",27,27,29,35,0,3,4,2
"MAGEB18",0,1,0,0,0,1,0,0
"TMSB15B",26,22,45,43,35,81,96,36
"P2RY8",0,0,0,1,0,1,1,0
"BCORP1",7,8,12,8,0,0,0,0
"RBMY1A3P",1,0,1,0,0,0,0,0
"ILDR1",0,1,0,1,7,11,11,2
"STON1-GTF2A1L",57,71,96,103,18,65,79,20
"TRARG1",1,0,0,0,0,0,0,0
"LIN9",1241,1264,1159,1341,503,1473,1596,539
"TRIM59",534,578,302,388,242,587,426,187
"KRT6C",520,695,295,335,9,19,7,4
"FAM223B",8,4,4,8,1,1,1,1
"TRIM42",0,1,0,0,0,0,0,0
"NOP14-AS1",1300,1603,1129,1332,49,124,133,51
"EIF4E3",430,585,394,499,65,163,168,58
"FAM149B1",2040,2398,1678,2052,1044,2897,2526,881
"RFESD",85,97,29,57,14,54,24,16
"VN1R2",0,1,1,1,0,0,0,0
"VN1R4",0,0,0,1,0,0,0,0
"VN1R5",0,0,0,0,0,3,1,1
"BPIFA4P",5,5,12,5,0,0,0,0
"KLHL10",31,24,5,13,4,7,4,1
"DHRS4L2",417,622,266,293,53,129,105,38
"MESTIT1",4,1,0,1,4,13,5,2
"POTED",0,0,4,3,0,0,0,0
"ADAM20P1",25,33,16,18,4,8,8,6
"C14orf39",0,1,1,1,16,31,24,6
"CCDC85C",4733,6630,5769,6507,205,549,424,144
"H2AC21",1,0,1,1,463,1086,662,291
"DDX51",481,653,501,540,57,135,79,23
"ITPK1-AS1",0,2,1,2,0,1,1,1
"TTC6",3305,3223,6713,7037,128,275,316,118
"KRT73",6,3,38,47,0,0,0,0
"SNORD8",0,1,0,0,0,7,8,5
"ZAR1",153,169,241,296,36,81,153,52
"ADGRE4P",0,0,2,0,0,0,1,0
"MT1DP",19,29,7,3,0,0,0,0
"RAB37",99,118,115,89,86,233,48,21
"MMAB",2410,3383,1470,1802,308,746,456,191
"SERPINA9",0,0,2,2,0,0,1,0
"PPM1J",64,107,35,40,11,23,15,5
"SNAI3",16,28,29,13,1,7,6,2
"H3C15",13,27,8,21,1000,2493,1480,639
"UBAC2",1648,2139,2340,2691,243,505,566,188
"H2BC20P",204,336,116,128,42,102,96,49
"H2BP1",50,69,31,33,83,210,159,79
"CHSY3",12,15,7,12,28,58,29,14
"KRTAP19-1",0,0,1,0,0,0,0,0
"KRTAP13-2",4,5,0,1,0,0,0,0
"KRTAP6-3",0,0,0,0,0,0,2,0
"LINC00524",0,0,0,0,0,1,1,0
"LINC00221",0,1,1,2,0,0,0,0
"ST7-OT4",86,91,79,111,9,21,16,4
"FAM151A",25,50,35,37,0,1,0,0
"NLRP9",21,29,23,31,1,2,1,0
"NLRP10",1,2,0,0,1,3,5,2
"NLRP14",3,9,3,1,1,2,1,0
"GPIHBP1",0,3,7,15,0,0,0,0
"CLEC4D",0,0,0,0,0,0,0,1
"IFNE",0,0,0,0,6,11,11,5
"RAB7B",6,14,3,5,1,4,0,0
"H2BP2",75,87,39,59,83,206,155,79
"SNORD108",6,5,6,7,0,1,0,0
"SNORD109A",0,3,0,1,0,2,0,0
"SNORD109B",0,0,0,0,0,1,0,0
"ANO9",168,142,205,187,31,87,61,29
"HCAR2",4,6,4,8,1,4,4,2
"FFAR4",0,1,0,0,1,2,1,0
"ANKRD30BP3",3,0,0,0,0,1,0,0
"LINC00705",0,1,0,0,2,2,6,2
"ST8SIA6",338,448,355,359,0,0,2,0
"DUSP29",4,6,4,10,15,35,61,17
"LUZP2",2590,2553,3621,3983,0,4,2,0
"KRTAP5-AS1",143,159,141,184,2,5,3,0
"KCNQ1-AS1",0,0,1,1,0,0,0,0
"CENATAC",657,1139,699,798,227,639,389,145
"VSIG10L2",0,0,1,0,0,0,1,0
"ANKRD13D",885,1371,1281,1448,51,159,87,24
"LOC338694",0,0,2,1,0,0,0,1
"ANKRD42",872,1098,834,975,70,154,96,26
"B4GALNT4",1650,2223,2498,2951,68,174,164,48
"CSTF3-DT",6,13,2,3,3,10,6,4
"OR2AG2",0,1,4,0,0,0,1,0
"ATP2B1-AS1",116,161,54,67,3,16,9,5
"C1QL4",23,32,20,22,17,50,40,15
"TMEM119",0,2,0,0,0,0,0,0
"KRT79",1,0,0,0,9,25,31,10
"LINC01089",372,591,614,662,92,306,301,119
"TAFA2",87,78,95,129,9,20,9,4
"LINC01252",1,1,4,4,0,2,4,0
"SLCO1B7",10,6,4,1,4,19,43,15
"LINC00550",1,0,0,0,0,0,0,0
"C1QTNF9",50,56,38,53,4,12,11,4
"VSX2",2,3,3,2,0,0,0,0
"WHAMMP3",259,259,327,446,47,108,167,66
"PKD1P1",1684,2212,2268,2494,117,240,231,85
"PIEZO1-AS1",0,1,3,8,0,3,0,1
"PRSS53",104,154,201,219,32,89,100,41
"RAB43",336,490,487,533,67,185,214,72
"JMJD8",2639,3833,3214,3660,163,402,337,131
"CIBAR2",0,2,0,1,0,3,1,0
"LOC339166",2,3,0,0,0,1,1,0
"TMEM95",0,0,0,0,1,1,11,1
"METTL2A",1211,1385,864,1009,375,963,697,254
"CCDC144NL",9,14,6,12,0,0,0,0
"FMNL1-DT",0,0,0,0,7,17,18,4
"ASB16-AS1",216,295,215,211,78,198,150,49
"C17orf67",167,199,133,145,34,78,78,18
"ENPP7",0,2,0,2,0,0,0,0
"OXLD1",561,951,589,635,75,174,66,34
"CCDC137",1833,2601,1735,1978,142,370,233,91
"ARL16",471,649,570,672,105,256,240,77
"KRT17P5",0,0,2,2,0,2,7,0
"NOS2P3",2,1,1,0,2,1,1,2
"LOC339260",2,13,4,2,1,0,0,1
"LINC02693",298,362,327,450,102,330,294,93
"MSL1",4114,4682,5019,5689,724,1835,2282,809
"LINC00667",1417,1631,1136,1295,67,169,103,32
"CPLX4",3,3,4,3,0,0,5,0
"ZNF181",1206,1273,1131,1357,101,264,224,88
"ZNF260",2965,2674,2981,3495,210,601,437,140
"ZNF546",440,463,327,411,57,118,143,34
"MYPOP",223,309,324,370,38,115,100,30
"NANOS2",2,0,1,2,0,0,0,0
"ADAMTSL5",30,33,32,46,26,78,80,29
"CLEC4G",0,0,2,0,0,0,0,0
"LINGO4",16,21,35,30,0,2,0,0
"CCDST",27,25,11,6,30,90,159,46
"RXFP4",1,1,1,2,1,3,4,1
"ANKRD45",12,8,10,8,2,16,7,4
"LINC01343",0,0,0,0,0,1,0,0
"C1orf174",970,1056,842,905,541,1464,1314,451
"KLHL17",576,803,827,912,95,267,189,76
"TMEM240",6,5,6,7,3,3,2,0
"TMEM52",402,597,295,337,47,74,40,27
"LINC02796",7,9,12,11,9,23,25,8
"BRINP3",31,34,13,29,0,3,1,0
"MTMR9LP",28,12,25,26,23,45,27,16
"ZBTB8OS",1932,2160,1881,2229,243,619,641,223
"TFAP2E",458,558,354,354,21,44,22,15
"ZNF678",2410,2071,2340,2780,424,1212,1186,428
"LINC01141",2,0,3,1,0,0,1,0
"CCDC190",8,2,4,3,0,6,2,4
"LINC01140",24,13,8,4,3,4,3,4
"LINC02774",1,3,2,1,2,0,4,1
"LINC01139",15,29,18,17,22,64,19,14
"LOC339539",4,4,6,4,0,1,0,0
"ARMH1",47,97,56,50,10,21,15,8
"ZFP69",12,12,11,13,1,0,3,0
"LOC339593",1,0,4,0,2,2,1,1
"SLC35E4",131,180,171,190,117,321,408,127
"LOC339666",4,7,6,7,0,2,4,1
"CIMIP4",0,0,0,0,0,1,0,0
"SMIM45",29,39,18,30,2,5,1,0
"LOC339685",1,1,1,0,1,2,1,2
"FAM201B",0,2,1,1,3,13,5,3
"SPOPL",2956,2821,2952,3288,422,1037,1529,535
"MAP3K20-AS1",34,37,30,33,27,63,51,21
"CYP27C1",0,0,0,0,9,26,91,19
"MROH2A",5,9,3,2,4,10,5,0
"ESPNL",0,3,0,3,2,1,0,0
"CIMIP2C",0,0,1,6,1,0,1,0
"LINC00299",0,0,0,0,0,0,1,0
"C2orf74-DT",398,401,297,308,85,268,210,85
"C2orf74",476,510,394,464,103,260,227,93
"LINC02579",0,0,0,0,0,1,0,0
"LINC01115",0,2,0,1,1,1,2,1
"CCDC39",77,101,118,165,19,52,58,21
"IHO1",0,1,0,3,0,4,2,2
"KY",18,34,5,9,1,0,3,0
"BALR6",4,15,20,25,0,0,0,0
"NUDT16-DT",39,29,27,31,0,0,1,0
"APRG1",48,46,49,66,22,49,62,15
"LINC00880",3,4,0,1,3,4,9,5
