"","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep2","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep2","PC3_RNA-Seq_siCtrl_Normoxia_rep1","PC3_RNA-Seq_siCtrl_Normoxia_rep2","PC3_RNA-Seq_siCtrl_Hypoxia_rep1","PC3_RNA-Seq_siCtrl_Hypoxia_rep2"
"APOD",751,1136,1411,1696,2,0,3,1
"APOE",6,11,15,16,2,8,10,1
"APOH",0,4,2,6,0,0,0,1
"APP",14258,17400,33810,39200,5904,17039,20622,6902
"APRT",2461,4120,1846,2229,401,860,599,267
"KLK3",98776,124448,182040,197253,0,0,0,0
"FAS",673,782,388,418,180,419,318,106
"FASLG",0,0,0,0,0,1,2,0
"SHROOM2",1601,1916,1362,1544,151,495,329,122
"AQP1",30,45,29,28,5,20,19,5
"AQP2",3,1,2,0,0,0,0,0
"AQP3",143,174,82,108,23,77,58,29
"AQP4",29,28,22,22,4,8,5,4
"AQP5",3,2,4,0,0,0,0,0
"AQP6",2,2,17,11,1,3,1,1
"AQP7",18,19,12,23,0,1,0,0
"AQP9",0,0,1,2,0,0,0,0
"AR",19488,23120,17214,19865,121,313,200,44
"ABCC6",85,112,74,87,6,18,6,3
"ARAF",1513,2241,1359,1736,389,1031,755,288
"ARCN1",13242,15616,11016,12696,856,2427,2440,854
"TRIM23",889,857,980,1082,54,152,195,53
"AREG",10,24,5,3,8,36,16,7
"ARF1",13955,18926,11559,13264,4309,10995,9542,3592
"ARF3",11521,13561,9481,11282,1867,4824,3990,1506
"ARF4",8059,9862,6416,7397,1744,4621,4605,1596
"ARL4D",43,70,43,63,1,7,2,3
"ARF5",2704,4782,3207,3736,428,1142,842,335
"ARF6",9504,10940,8926,9960,1538,4262,4728,1504
"ARG1",125,84,21,25,2,6,2,0
"ARG2",4055,6258,1754,2175,376,1010,1660,495
"RHOA",10002,12830,11239,12779,2162,5635,6664,2340
"RHOB",4287,5596,5385,6250,252,644,489,216
"RHOC",2808,4870,3171,3728,1626,3717,3268,1258
"RND3",1,7,5,1,622,1840,1506,495
"RHOG",242,348,236,284,140,315,252,102
"ARHGAP1",1863,2653,1310,1550,172,438,296,105
"ARHGAP4",92,130,162,194,5,3,2,0
"ARHGAP5",4613,4446,6394,7245,2098,5912,8009,2460
"ARHGAP6",3360,3543,9590,10244,369,1036,1047,355
"ARHGDIA",3860,6370,3491,4195,598,1527,1165,455
"ARHGDIB",9,7,8,4,88,225,179,68
"ARHGDIG",23,70,35,47,3,15,9,5
"RHOH",34,26,7,11,2,0,5,5
"ARL1",10953,11948,9854,11135,470,1436,1401,489
"PHOX2A",1,7,5,1,1,1,3,0
"ARL2",1063,1725,819,943,585,1267,810,335
"ARL3",3328,4074,4327,4683,198,594,679,234
"ARNT",3038,3653,3832,4244,189,574,505,168
"BMAL1",480,528,918,965,208,548,1138,375
"ARR3",6,16,1,6,3,4,3,0
"ARRB1",1393,1887,2036,2554,242,613,600,143
"ARRB2",1629,2202,1550,1713,170,481,359,151
"ARSA",325,551,654,767,73,144,155,55
"ARSB",554,698,509,662,521,1310,1434,473
"STS",1029,1151,915,1217,251,778,1986,523
"ARSD",1484,1995,1360,1539,149,390,340,119
