"","LNCaP_EV_Normoxia_rep1","LNCaP_EV_Normoxia_rep2","LNCaP_OC2_overexpress_Normoxia_rep1","LNCaP_OC2_overexpress_Normoxia_rep2","LNCaP_EV_Hypoxia_rep1","LNCaP_EV_Hypoxia_rep2","LNCaP_OC2_overexpress_Hypoxia_rep1","LNCaP_OC2_overexpress_Hypoxia_rep2","PC3_siCtrl_Normoxia_rep1","PC3_siCtrl_Normoxia_rep2","PC3_siOC2_Normoxia_siRNA1","PC3_siOC2_Normoxia_siRNA2","PC3_siCtrl_Hypoxia_rep1","PC3_siCtrl_Hypoxia_rep2","PC3_siOC2_Hypoxia_siRNA1","PC3_siOC2_Hypoxia_siRNA2"
"BSPRY",711,914,459,602,1296,1315,885,596,3,9,19,26,11,2,1,12
"WBP1L",1696,2122,979,1642,1772,2149,2359,1498,68,170,220,148,166,64,52,124
"LRRC49",344,581,171,285,282,351,439,281,126,338,675,525,315,111,123,492
"APTX",2288,2845,1382,2044,1712,1964,1734,1169,128,334,357,309,191,84,48,243
"BIVM",1031,1088,483,752,944,1102,865,620,100,252,462,353,178,67,59,296
"MFSD6",2000,2389,1145,1694,2008,2120,3259,2150,261,712,1597,602,522,196,271,447
"SYTL2",1000,972,401,620,1041,1135,563,411,97,212,149,391,492,159,80,948
"ESRP1",5514,5831,2688,3803,4650,4966,5707,3587,108,384,1291,678,267,117,107,720
"SIDT1",83,120,33,28,97,120,102,52,226,611,244,599,217,72,23,399
"ARHGEF38",371,408,129,217,122,137,160,121,2,7,9,14,13,3,2,19
"DEF8",588,1026,507,712,668,733,961,598,235,550,673,529,388,162,79,432
"FBXL12",369,486,248,398,418,460,457,303,44,137,300,227,115,43,43,182
"ANKRD49",965,968,444,685,687,820,870,502,114,341,405,453,311,102,43,419
"PAQR5",49,73,37,82,81,77,116,66,486,1207,1002,1291,1956,522,617,1478
"WDR55",1561,2131,1065,1479,1653,1964,1475,1155,304,811,1330,540,641,196,282,488
"FAM83E",12,25,2,11,17,6,23,11,2,5,11,17,3,2,0,8
"TENT5C",291,265,258,291,176,187,244,178,158,443,300,726,1014,335,220,1097
"GON4L",2603,2739,1555,2626,3083,3419,3538,2510,473,1339,1544,1270,1275,466,371,1164
"GDPD2",14,9,8,14,9,11,11,7,2,4,11,5,3,2,3,9
"PGPEP1",871,1480,756,1102,1869,1916,1813,1358,145,350,536,774,338,88,102,404
"ELP6",1000,1620,622,919,941,1173,869,555,195,550,280,540,323,124,37,376
"SNRK",941,988,503,777,964,1058,1045,786,380,1050,525,242,2464,829,198,359
"CC2D1A",1919,2743,1286,1877,2458,2985,2294,1866,219,555,783,664,486,149,222,508
"TOR4A",38,67,27,46,47,50,28,34,97,229,343,365,174,61,97,314
"GPATCH4",5210,7055,3607,4642,3748,4642,2716,2173,194,533,249,314,197,63,15,206
"PPP1R14D",3,1,2,9,0,3,2,1,0,0,1,1,1,0,0,4
"TMEM214",2171,3042,1451,2051,2205,2468,2263,1548,533,1510,2337,1008,1763,616,618,1107
"SLC38A12",668,1111,661,927,800,930,828,616,248,682,1353,1080,662,237,363,1189
"EPS8L1",40,55,29,36,38,34,62,27,0,3,3,3,2,2,2,1
"QRICH1",4307,5070,2387,3789,4556,5202,4789,3509,983,3032,3910,2146,2637,913,831,2109
"PIGG",2261,2696,1306,2059,2482,2772,3019,2019,174,513,762,489,543,210,178,527
"PALMD",484,574,317,481,257,348,366,247,130,446,254,98,293,87,35,178
"FNBP1L",6938,7300,4347,6907,17844,20273,14256,11676,868,2204,2756,2567,3129,1021,789,3099
"CNTLN",1553,1420,795,1320,1409,1598,1237,1040,184,492,351,366,455,146,87,365
"DCAF16",4231,4252,2040,3198,3833,4197,4187,2835,608,1782,1837,940,1590,569,284,1064
"ZCCHC2",2709,2933,1337,2100,2038,2294,2105,1366,174,475,863,602,401,117,116,630
"DPP8",1697,1772,1024,1493,1868,2154,2318,1614,444,1205,2060,1093,1534,483,553,1142
"ST7L",1313,1423,703,1171,807,981,1011,670,229,599,1071,701,607,203,204,702
"BCOR",4118,4546,3324,4889,5200,5858,9048,6441,160,413,401,512,693,270,126,650
"TEX10",1706,1675,754,1286,1253,1586,1245,1017,671,1841,2762,2797,1760,590,1023,3508
"ANKHD1",5473,6021,3595,5022,5446,6158,6060,4347,480,1215,1421,1197,1264,417,471,1233
"CWC25",983,1073,808,1161,1311,1526,1550,1114,79,308,406,207,251,72,76,219
"RETSAT",2378,2945,1976,2666,2137,2336,2908,1914,276,883,1550,960,766,271,327,1093
"TBC1D8B",626,701,356,524,1065,1123,890,646,101,245,681,81,599,187,167,129
"PLPPR1",205,263,162,280,95,128,210,170,9,21,8,14,7,3,0,4
"BLTP3A",3308,3786,2006,2772,3129,3513,3209,2200,753,2004,2921,1063,1360,456,647,859
"NSUN2",6649,7104,3524,5381,6338,7860,5622,4428,195,591,884,553,559,157,195,542
"ALKBH5",4574,5865,3079,4483,8447,9356,8256,5425,587,1453,2259,965,2558,902,1031,1711
"INO80D",730,708,414,626,730,887,1341,815,219,610,721,587,456,176,147,503
"NCAPG2",2737,2810,1342,2014,3194,3944,2696,1802,543,1410,1870,1050,1884,583,709,1340
"MTMR10",1086,1253,697,1060,1151,1353,1263,930,250,713,1220,626,806,263,289,518
"RNF43",631,881,425,524,1161,1248,1240,828,256,734,946,620,724,254,291,710
"SLC66A1",200,288,122,211,258,285,215,200,142,394,709,406,344,120,169,326
"CASZ1",1827,2108,1376,2062,3001,3367,3626,2374,43,117,173,201,116,42,40,201
"ELOVL2",160,169,119,194,101,130,58,52,267,701,396,1628,732,235,111,1778
"PXK",1074,1049,563,950,1014,1110,1034,778,544,1485,1766,743,1058,364,292,603
"LAX1",3,3,0,2,0,0,5,1,0,1,0,3,0,1,0,1
"CDKAL1",457,517,267,345,490,511,539,339,326,845,813,884,781,254,173,878
"TTC19",3413,3688,1774,2705,4821,5484,4540,3107,238,733,1097,908,593,219,219,868
"MKS1",617,733,331,446,557,691,651,382,135,321,353,332,173,75,22,220
"NSD3",5627,5860,3681,4961,6545,7388,6598,4846,1221,3371,3211,1630,3205,1047,854,1611
"CYP2W1",14,22,9,12,19,18,14,12,0,2,8,7,1,0,0,0
"TASOR2",7756,8208,4426,6498,6800,8558,6713,5101,1413,3875,4455,2978,3124,989,782,3276
"SPDL1",2166,2191,892,1487,1892,2351,1509,1225,589,1590,2173,903,1615,490,372,892
"SEMA4C",379,486,280,360,620,719,912,609,454,1095,1092,847,1368,511,343,904
"RPP25",41,51,25,36,33,46,40,27,50,118,125,204,92,25,13,153
"FOCAD",2615,2973,1363,2221,1643,1853,1713,1271,868,2318,2988,2736,2323,787,1013,3185
"YTHDF1",2879,3363,2094,3056,2810,3250,3146,2199,1340,3449,5430,3956,2181,735,895,3013
"TMEM260",1144,1280,628,883,1242,1361,1392,954,1005,2633,2638,1402,2503,939,469,1452
"CMTM6",3934,4228,2503,4064,3511,4396,3886,2736,1216,3051,4847,1788,3736,1245,1307,2018
"DNAAF5",1167,1530,658,993,1047,1256,986,730,116,254,291,427,372,173,73,488
"DUS2",680,886,348,561,454,493,493,306,122,302,220,304,202,89,21,258
"CHTF8",1171,1620,670,939,819,957,955,604,342,814,735,650,826,314,110,642
"RASIP1",14,21,38,33,23,20,49,29,1,2,6,2,1,0,1,3
"LIME1",94,234,88,117,165,162,151,114,40,98,175,120,81,32,25,84
"ZSCAN32",913,1015,639,928,866,991,980,725,76,216,332,238,179,72,36,179
"UBE2R2",4239,5027,2752,4786,5136,5806,6417,4582,376,1034,1458,1197,1244,391,486,1452
"CHCHD3",3435,3506,2046,3070,2977,3511,2532,2036,884,2523,1441,1933,2352,727,364,2078
"BPNT2",7018,7608,4580,5913,12531,12846,11193,7651,603,1801,2309,2310,3066,1094,758,3000
"TMEM161A",635,1196,418,701,568,635,645,351,199,538,488,296,225,114,28,176
"HAUS4",1297,1674,653,977,1061,1234,1116,772,221,574,457,373,477,179,100,356
"TRMT10C",2707,2986,1259,2128,1950,2479,1891,1527,476,1200,1217,1507,1267,391,231,1570
"EXD3",136,184,75,138,159,171,226,134,11,37,45,54,26,5,8,49
"RHBDL2",139,180,113,153,134,185,129,109,5,11,17,18,8,3,7,7
"KANSL2",1226,1597,622,1123,1137,1335,1251,831,281,712,786,665,554,207,113,684
"DUSP23",321,449,251,234,263,255,278,170,50,90,204,393,33,13,17,212
"ADPRS",829,1231,607,918,1134,1413,1099,783,195,452,747,433,488,165,198,543
"SOHLH2",122,131,44,83,84,78,86,65,2,1,2,7,2,1,1,3
"SARS2",401,600,241,391,432,534,432,307,64,126,230,143,84,32,54,121
"COMMD4",364,665,230,335,287,321,317,217,218,440,506,485,353,143,85,410
"OCIAD1",13096,13200,8127,10443,8298,10579,10216,6996,827,2306,3095,2705,2670,851,830,3024
"RNF125",434,470,231,332,191,225,308,240,39,122,147,60,96,29,15,71
"ABITRAM",2413,2129,1241,1819,1955,2344,2046,1341,256,674,1129,280,698,238,165,331
"DNAJC28",244,244,171,266,300,307,275,242,15,49,61,53,62,22,17,60
"LINC01521",699,780,467,682,810,990,1019,742,19,75,151,131,95,43,26,196
"SLC41A3",648,1042,393,576,597,643,786,462,89,279,279,291,172,76,36,281
"LPCAT2",33,35,17,23,16,23,42,21,469,1231,1262,671,1716,514,399,733
"MRPL16",2700,3422,1405,1982,1813,2093,1787,1184,505,1303,1507,1196,1168,402,201,1064
"SDHAF2",1572,2144,838,1406,1468,1796,1531,1150,400,1203,2151,1083,967,344,416,1065
"COMMD8",568,640,301,575,361,398,415,303,71,260,321,346,229,71,53,306
"TRNAU1AP",469,714,289,505,442,553,576,378,145,295,322,216,293,100,53,226
"ODR4",3463,3651,2079,2881,2895,3391,3103,2144,89,285,357,243,298,73,71,241
"FAM120C",1650,1916,944,1436,1055,1214,1421,958,201,534,556,766,383,142,115,653
"AIRIM",1925,2157,1148,1598,1395,1736,1446,968,99,262,506,327,207,76,109,261
"PARP16",500,695,382,556,526,560,847,529,72,232,290,84,200,74,53,74
"TXNL4B",623,753,388,614,480,548,532,386,103,288,490,213,186,68,108,174
"TMEM160",31,46,14,17,23,19,13,8,33,73,121,74,41,12,13,46
"ODAM",134,103,69,154,918,989,342,313,0,0,1,1,0,0,0,0
"GEMIN8",1045,1318,578,802,1210,1345,1393,870,264,617,313,471,432,195,41,413
"SSH3",1325,1910,902,1425,1811,1911,1483,1015,114,233,425,170,152,51,66,97
"TIPIN",1242,1346,601,947,613,871,740,554,143,301,324,311,168,65,49,289
"UCKL1",1170,1947,788,1112,1685,1799,1452,1071,563,1500,1511,754,1251,425,319,766
"C1orf56",128,223,75,125,118,178,149,105,62,138,171,80,111,48,30,80
"PIGX",2335,2567,2082,2854,1985,2305,4313,2909,244,585,571,613,635,194,117,649
"TMEM70",968,1042,456,750,613,805,656,434,301,822,971,678,748,236,225,775
"HPF1",1884,2370,997,1475,1130,1294,1614,1048,150,337,350,322,270,100,48,247
"TTC12",1159,1442,643,1002,854,1020,975,673,49,99,139,90,74,24,22,79
"BANP",667,875,407,528,602,730,691,433,55,166,187,135,112,40,46,128
"TMEM132A",1434,3206,851,1335,2320,2705,3685,2454,403,884,1053,637,853,318,211,590
"INTS11",2441,3242,1366,2079,2562,2871,2233,1673,552,1556,1580,1182,922,390,272,1123
"THG1L",682,711,397,467,270,316,355,230,135,357,259,365,257,96,33,333
"ADISSP",434,850,253,399,319,364,295,233,464,1078,945,1349,544,214,189,1099
"SLC25A38",1968,2647,1220,1772,1888,2258,1848,1194,223,555,945,564,407,147,198,508
"SLC35F6",1100,1609,848,1214,1216,1455,1049,742,337,884,1330,1178,702,275,229,1140
"PLAAT2",12,3,3,2,2,2,2,1,0,6,1,6,2,3,0,2
"C2orf42",504,636,241,476,367,402,397,317,202,550,592,372,413,171,74,276
"NMRK1",919,1121,665,1037,1157,1155,1316,889,137,355,579,265,342,123,51,265
"CLN6",514,790,264,434,379,479,328,282,165,361,269,349,227,87,54,314
"PINX1",655,721,423,528,608,670,588,408,43,91,88,92,56,25,12,77
"HCFC1R1",498,833,388,641,595,617,723,504,322,1061,480,586,999,397,123,593
"ULK4",71,91,54,61,30,41,64,55,57,137,189,205,157,48,24,192
"CZIB",1360,1617,816,1272,1024,1120,1318,857,219,581,728,482,408,162,88,438
"ZNF770",5056,5196,2884,4566,6646,7820,7191,5467,356,1030,661,1240,1327,372,201,1252
"C1orf159",189,280,91,135,341,371,262,161,139,315,498,237,215,71,100,214
"ZSCAN2",425,507,264,335,828,906,980,642,86,252,177,130,153,53,29,125
"GID8",5124,6929,4349,4917,6687,7112,6369,4353,628,1795,1983,1315,1947,712,612,1412
"OXSM",994,1195,509,856,1068,1173,1196,712,90,262,286,220,509,173,94,331
"MTARC2",3191,3504,2259,2118,1625,1949,2083,1386,105,352,301,428,313,84,99,391
"TESC",153,231,117,190,101,99,156,74,20,74,107,70,36,10,34,48
"AURKAIP1",1241,2269,815,1173,1093,1371,1201,786,744,1666,2132,1518,1094,378,374,1109
"TUG1",14763,15373,8407,13944,15976,17970,21441,14545,1741,4773,3943,4402,3651,1388,664,4466
"TTC22",1,8,5,2,1,1,20,15,30,90,137,69,92,34,5,49
"SLC9D1",4189,5328,2480,3610,2846,3221,4090,2764,486,1324,1096,1219,1627,554,321,1323
"PAK1IP1",1773,2017,1068,1524,1686,2166,1449,1125,128,389,147,504,243,69,22,362
"LAMTOR1",2789,4458,2015,3362,2498,2872,3164,2122,645,1763,2210,1556,969,358,227,1144
"RMND1",1009,1069,582,854,759,747,1122,675,211,513,487,265,464,155,55,255
"TRMT61B",944,948,479,621,755,967,841,507,86,218,470,348,177,66,72,323
"FAM118A",2784,3525,1464,2193,3195,3303,3342,2244,186,499,661,392,282,105,117,302
"HERC6",855,911,436,622,268,353,284,194,48,135,175,116,58,23,20,53
"FAM174C",1157,1882,722,1240,931,1154,1015,681,23,61,76,51,39,10,13,34
"PARPBP",1159,1040,482,678,1213,1315,771,667,344,795,666,574,961,285,149,511
"PIH1D1",1385,2121,1006,1285,1774,2051,1829,1222,431,1052,2059,2066,1030,402,444,2318
"PPP2R3C",652,764,332,521,639,759,688,406,173,420,523,358,415,156,115,339
"MCUB",26,46,24,30,16,22,33,23,143,395,401,312,639,200,101,528
"STX17",3992,4633,2709,3594,4317,4983,4705,3183,535,1355,873,774,1081,408,128,702
"PRPF39",4857,4865,2671,3835,5468,6017,5254,3754,457,1368,1930,1392,1729,565,568,1638
"MARCHF1",402,449,185,341,387,416,568,337,43,114,159,140,96,30,14,116
"C14orf119",1445,1862,868,1322,1541,1790,1487,1181,622,1761,1975,1218,1616,642,529,1307
"ANKRD40CL",11,14,4,9,0,3,6,4,2,1,2,3,4,1,6,4
"TTC38",1066,1514,706,1058,930,1090,975,743,207,481,460,333,374,115,83,276
"PHIP",3940,3624,2106,3041,3509,4150,4546,3244,1056,2823,2679,2340,3476,1078,754,2668
"BANK1",1749,1824,878,1334,1574,1921,1245,990,39,88,91,64,55,23,7,51
"TMEM255A",21,28,16,25,31,24,36,29,5,28,45,23,31,15,3,30
"HEATR3",1655,1891,832,1446,1399,1734,1390,1099,201,619,815,506,733,224,223,652
"MTNAP1",1719,1796,1114,1744,1400,1767,1751,1255,523,1477,1874,1431,1400,437,423,1355
"FBXO34",840,1005,513,782,1060,1210,1072,772,835,2249,2695,1864,3453,1012,1240,2316
"USP47",8083,9015,5421,7514,7866,8910,8755,6503,237,738,871,711,674,218,174,738
"SLC35A5",2492,2753,1349,2203,1717,1966,2086,1469,461,1243,773,2380,899,309,89,2382
"FKBP14",621,586,354,549,1028,1065,1022,743,249,654,1134,831,676,229,402,831
"MOCOS",1689,2061,721,1178,1182,1363,1157,819,299,768,804,281,641,205,109,242
"NOL8",1893,1898,947,1437,1506,1730,1718,1032,416,1058,1447,997,720,251,155,943
"CCDC40",565,733,486,663,1042,1177,1358,1030,21,53,83,55,27,9,21,45
"PTCD3",4706,5196,2146,3444,3864,4629,3816,2487,908,2420,3167,2855,2438,734,770,3140
"CDCA4",443,617,218,349,351,393,338,231,271,668,867,474,579,212,133,440
"TYW2",1168,1408,602,860,1042,1194,907,686,215,629,955,929,346,120,93,854
"EPN3",1686,2320,1358,1952,1789,2312,1763,1320,13,45,55,38,31,7,3,48
"PLEKHB2",5997,6026,3603,5086,4793,5982,4997,3448,487,1200,1305,1534,1016,340,396,1536
"VPS37C",1751,2190,887,1344,1201,1432,1608,990,129,284,515,274,241,108,76,305
"REX1BD",289,665,236,223,203,225,218,140,71,160,192,127,92,49,20,79
"NRDE2",1974,2302,1291,1831,1938,2339,2370,1685,231,712,543,527,733,238,148,543
"MRPL20",3906,5491,2333,3863,2733,3250,3010,2162,794,2136,2058,1938,1607,509,347,1589
"ATG16L1",944,1060,533,800,1223,1272,1132,749,525,1445,1433,1592,2573,725,520,2479
"ZWILCH",4286,4784,2388,3008,3252,3350,2218,1747,649,1697,1828,1423,1687,572,446,1591
"GABPB1-IT1",519,658,292,421,546,580,632,399,51,160,174,116,133,62,39,106
"CRYBG2",56,82,87,144,69,69,118,81,2,5,8,3,6,4,0,14
"SUSD4",379,540,327,491,330,357,442,303,35,98,76,202,111,26,15,160
"WIPI1",323,371,211,349,413,534,495,368,187,505,1322,294,374,147,202,210
"ZCWPW1",758,917,504,660,600,780,705,536,99,244,264,248,204,69,52,195
"SPATA6L",83,113,66,79,55,73,117,65,8,24,72,51,8,2,5,33
"SLC52A1",1,2,1,1,0,2,3,2,0,4,4,3,2,0,0,0
"PDPR",1231,1317,739,1191,1179,1403,1558,1048,552,1468,1085,1478,1329,452,356,1578
"ENOX1",347,534,200,337,234,269,318,238,16,37,21,47,25,3,5,33
"TMEM248",3154,3565,1753,2806,3846,4391,3751,2592,245,710,1202,889,736,270,337,983
"DET1",216,239,98,161,162,188,226,144,50,139,68,103,97,51,10,69
"C9orf40",823,1043,445,717,655,723,529,371,138,366,672,363,357,144,96,370
"RNF31",1124,1495,595,960,1099,1239,1236,815,150,413,548,386,249,91,70,271
"LRRC37A4P",1122,1239,652,974,872,1037,1157,747,218,551,453,480,451,148,76,402
"OXR1",1939,2056,909,1385,1949,2136,1476,1106,790,2410,2933,1930,2455,868,563,1726
"UACA",1886,1996,930,1409,1615,1811,1690,1112,213,561,213,328,600,154,52,370
"TMEM45A",118,171,58,117,501,564,512,392,249,691,1069,836,4928,1644,824,2196
"TAPBPL",277,416,237,351,236,255,411,299,18,70,56,28,30,7,12,20
"IFT57",3463,4190,1807,2725,5691,6267,3361,2577,125,432,223,456,343,85,27,424
"ARGLU1",6406,6991,3400,5015,8708,9347,9069,6295,273,865,936,948,782,219,139,985
"KIF26B",9,19,19,12,31,32,64,46,8,8,28,35,16,4,6,33
"SOBP",191,321,133,185,75,78,158,101,157,471,118,389,588,217,62,485
"RADX",151,140,38,129,91,94,108,80,64,151,115,155,82,29,9,72
"CCDC186",6736,6463,4509,5588,5496,6065,6077,4248,143,428,643,221,516,140,164,195
"SLC38A4",227,282,128,271,350,448,221,280,0,3,2,7,8,1,10,7
"MED9",526,767,310,421,510,557,540,393,117,290,455,317,217,74,64,298
"TMEM51",217,246,132,168,156,206,214,145,199,561,586,327,540,175,177,425
"NTAQ1",395,570,275,404,421,532,542,396,128,345,336,312,225,102,37,291
"GPATCH1",803,972,623,709,791,887,763,584,76,196,266,179,153,58,37,133
"SAMD4B",2769,4132,1700,2677,3159,3537,3258,2321,355,1037,1584,1293,846,346,467,1265
"EBLN2",68,70,30,35,55,78,86,58,23,62,57,46,56,17,9,50
"WDR70",1538,1801,920,1257,1358,1614,1513,1052,142,372,573,400,336,105,83,354
"DMAC2",939,1342,700,1178,1036,1241,1070,760,441,1279,2092,1059,961,318,329,923
"ATG2B",2575,2835,1624,2326,2449,2658,2635,1973,374,1102,1219,982,972,308,330,1003
"RALGPS2",1736,1803,1247,1583,1752,2051,2088,1426,225,543,1041,452,903,210,268,557
"GPATCH2",1897,1921,1234,1699,2246,2646,2226,1685,332,924,975,779,964,289,127,786
"SLFN12",5,9,6,10,1,6,15,7,2,4,5,26,3,3,2,8
"ANO1",22,21,158,214,15,14,262,122,446,1192,593,924,1531,525,281,1351
"BSDC1",2350,3503,1603,2416,2507,2878,3367,2133,521,1353,3201,949,1157,438,566,857
"AGGF1",4800,5025,2526,4015,3903,4419,4413,3202,99,321,369,236,270,73,56,204
"MAGOHB",1503,1710,934,1209,931,1143,1267,706,259,624,1029,445,397,149,135,386
"PLEKHJ1",523,1035,401,547,730,886,784,527,100,195,408,217,142,55,74,248
"DYNC2I1",1643,1838,1249,1543,2115,2187,2028,1516,43,93,101,88,139,44,52,138
"XKR8",289,461,247,376,246,276,304,203,134,341,315,381,398,150,87,427
"ARHGAP17",1568,2331,1407,2227,2001,2196,2768,2028,88,269,483,215,390,116,139,248
"TMEM39B",522,727,319,489,528,654,642,475,108,277,520,245,314,118,85,268
"CRTAC1",0,0,4,11,2,1,9,0,3,6,4,9,6,2,1,12
"PRPF38B",7839,8132,4494,6089,8053,9413,7822,6159,138,395,510,345,333,104,132,347
"FANCL",360,390,168,220,256,258,232,143,57,157,165,117,130,47,35,116
"AKIRIN2",599,650,272,464,508,614,660,439,130,406,496,381,458,173,134,471
"PIWIL2",7,9,8,9,5,2,8,4,2,16,21,24,10,1,7,11
"CEP192",1931,1929,1030,1568,1646,1944,1967,1425,1275,3240,3871,2680,3528,1273,1116,3185
"HEATR1",3742,4280,1819,2999,2977,3573,3571,2487,441,1238,1374,1283,862,281,226,1187
"TRIM68",1522,1836,661,1027,668,806,1029,576,63,197,217,86,162,56,24,62
"ANO10",1582,1904,1342,1547,1642,1815,1812,1171,522,1388,1938,794,1511,535,338,728
"ODAD2",8,12,3,3,5,3,7,4,60,154,214,106,92,30,36,111
"RBM28",1981,2282,1153,1693,1612,1920,1902,1322,152,424,470,436,267,82,98,351
"LARP1B",1652,1662,930,1375,1214,1531,1336,868,190,607,740,390,527,172,134,355
"SRBD1",1308,1319,619,889,844,1083,917,601,419,1101,1078,548,983,336,152,555
"WRAP53",573,762,344,547,738,821,567,436,167,518,420,405,477,150,106,411
"FIGN",105,115,51,103,45,59,45,31,290,962,627,395,673,206,180,294
"FAM90A1",2,4,4,1,2,0,9,3,0,1,2,6,0,0,0,2
"ANKZF1",2557,3276,1338,1994,8732,10312,7692,5444,194,506,1001,421,2080,772,410,1480
"ELP3",1893,2094,1051,1531,1736,2070,1637,1195,261,707,590,555,560,166,80,535
"HAUS2",982,1137,582,873,653,833,908,541,290,772,1015,562,651,231,192,562
"CDCA8",1770,2030,717,1188,1423,1697,1161,879,541,1443,1131,601,1240,428,196,676
"LRRC8D",5619,6420,2317,3529,3435,3779,4054,2630,361,1021,1323,946,625,203,323,779
"THAP1",833,938,474,819,585,777,829,594,157,451,655,440,403,148,115,442
"ZDHHC4",1174,1831,706,1106,1139,1287,1470,980,241,613,526,321,449,174,95,293
"RBM23",3372,4457,2155,3360,2791,3358,3365,2390,658,1947,2441,1481,1271,446,471,1197
"UBR7",2295,2589,1093,1910,2156,2448,1969,1466,227,593,770,458,583,173,203,400
"MTPAP",1363,1424,641,1154,952,1331,1041,761,247,635,698,792,496,176,116,732
"C19orf73",82,93,46,66,110,107,94,55,8,19,29,37,10,2,1,17
"TMEM38B",2540,3102,2014,2122,2125,2200,1841,1378,234,655,802,584,535,139,133,587
"DALRD3",842,1462,573,855,939,1081,1235,894,135,383,486,330,315,124,81,286
"SDAD1",3826,4124,1886,3117,2800,3347,2932,2096,414,1206,934,1131,819,257,98,1122
"MSTO1",993,1272,600,767,1015,1276,917,668,164,453,791,396,270,100,121,347
"ARMC1",2582,2918,1438,2023,2109,2601,2309,1569,933,2774,3400,1547,2444,900,615,1627
"DARS2",3831,4230,1955,2976,1938,2183,1977,1236,612,1656,1318,1424,1301,454,225,1387
"RFWD3",2155,2392,1022,1539,1994,2294,1862,1367,445,1305,745,1218,923,300,154,1053
"ARHGEF10L",237,330,130,182,241,240,266,157,55,128,167,91,63,40,14,42
"TMEM33",7626,8169,4449,7193,6074,7139,6132,4818,882,2418,3920,4568,2269,779,820,5098
"PNPO",3162,3967,1697,2911,1932,2201,2095,1404,1566,4196,3887,1678,2320,894,424,1030
"SHQ1",1184,1257,692,978,693,878,842,577,256,660,981,290,594,195,236,248
"CEP55",3532,2986,1344,2193,2601,2845,2251,1525,486,1450,977,861,1450,476,187,886
"CENPQ",453,408,194,293,404,540,308,202,187,509,725,343,502,197,127,368
"MSL2",1636,1686,891,1329,2007,2295,1771,1413,285,812,667,1112,1093,373,211,1528
"MRPS18A",965,1338,584,845,1071,1328,1160,747,294,729,827,610,459,180,138,533
"PRMT6",3673,4717,2618,2915,2840,3496,2774,1987,164,537,289,191,363,118,34,191
"TBCCD1",685,649,397,536,344,414,444,308,271,791,668,865,503,180,85,678
"DNAAF2",1022,1147,518,838,899,1054,816,660,227,582,606,478,523,139,144,561
"MRPS10",2054,2228,1243,1929,1770,1890,1863,1224,1073,2842,2652,951,2312,790,460,908
"INTS10",3766,4494,1972,3028,3235,4140,3308,2380,137,447,472,312,296,106,85,299
"KLHL11",1285,1552,848,1286,1223,1320,1250,919,424,1014,525,1149,1017,322,124,1063
"SEC61A2",746,874,475,757,813,873,953,707,179,449,745,928,395,151,186,950
"RMDN3",2172,3257,1785,2151,1673,1954,1640,1130,148,348,350,405,219,90,31,291
"MRM3",672,966,485,541,521,618,507,388,141,328,350,359,225,71,46,278
"FAIM",2309,2700,1309,1866,1506,1863,1503,1095,112,246,334,120,228,65,36,95
"LINS1",659,728,367,650,543,633,681,416,162,511,470,463,433,145,81,364
"SMG8",1147,1502,685,1140,1092,1377,1174,800,166,485,552,367,330,111,78,276
"RNF220",2292,3355,1436,1963,2552,2787,2371,1806,300,763,713,598,538,199,133,594
"RIF1",3960,3754,1944,2872,3567,4442,3286,2454,1125,3096,5352,4201,3120,979,994,4859
"DZANK1",156,193,99,188,215,244,283,218,57,150,190,221,130,44,29,193
"SLC25A36",4416,4376,2147,3466,7846,7895,7583,4919,524,1409,1905,856,3202,1085,899,1573
"VPS13D",2542,2711,1452,2113,3664,3856,3370,2491,724,1922,1731,1717,2322,786,354,1750
"RIC8B",1062,1230,617,965,1285,1430,1377,1000,341,956,1059,832,1120,351,318,891
"NUDT11",242,329,136,199,388,355,306,212,139,439,417,650,368,146,134,671
"NADSYN1",1445,2548,984,1376,2025,2165,2393,1415,181,482,781,299,432,197,97,285
"DNAJC17",506,722,350,529,633,635,673,407,107,299,280,226,207,87,37,172
"PBRM1",9445,10049,6275,8749,11783,13819,17003,11324,1037,2956,3749,2134,3669,1072,1096,2471
"EVA1B",33,79,21,31,88,64,92,58,45,78,175,87,80,36,34,66
"RESF1",1742,1645,915,1461,1667,2001,2128,1396,282,719,1419,1342,635,202,264,1178
"RPRD1A",3617,3814,1989,3331,3802,4363,3690,2704,56,153,215,266,156,32,65,241
"APPL2",3063,3814,2160,3236,3228,3674,5690,3528,389,1057,1326,1218,1072,365,268,1237
"FAM86C1P",984,1076,578,755,567,663,589,422,136,371,171,318,144,81,20,246
"PLEKHG6",41,39,35,37,70,70,57,22,16,58,42,146,37,13,10,88
"MAP1S",525,985,512,639,602,632,833,525,96,251,324,333,344,140,69,465
"LGI2",221,221,260,383,279,298,476,354,78,189,98,291,192,57,17,252
"GOLPH3L",4007,5075,2284,3433,2223,2503,3452,2408,761,2103,4951,2240,1945,677,975,2119
"ZNF532",2852,2928,1484,2435,5396,6506,5201,3719,231,649,692,581,659,207,175,622
"SBNO1",6304,6796,4400,5651,6748,7964,7015,5147,479,1475,3017,2760,1480,400,1104,3046
"ARL8B",4135,4180,2451,3818,3624,4303,4645,2919,537,1458,2621,2070,1933,654,753,2519
