"","LNCaP_EV_Normoxia_rep1","LNCaP_EV_Normoxia_rep2","LNCaP_OC2_overexpress_Normoxia_rep1","LNCaP_OC2_overexpress_Normoxia_rep2","LNCaP_EV_Hypoxia_rep1","LNCaP_EV_Hypoxia_rep2","LNCaP_OC2_overexpress_Hypoxia_rep1","LNCaP_OC2_overexpress_Hypoxia_rep2","PC3_siCtrl_Normoxia_rep1","PC3_siCtrl_Normoxia_rep2","PC3_siOC2_Normoxia_siRNA1","PC3_siOC2_Normoxia_siRNA2","PC3_siCtrl_Hypoxia_rep1","PC3_siCtrl_Hypoxia_rep2","PC3_siOC2_Hypoxia_siRNA1","PC3_siOC2_Hypoxia_siRNA2"
"SOX21",0,1,2,0,1,1,2,1,21,61,60,102,97,36,4,86
"FSTL1",98,167,68,137,90,112,160,98,1991,5356,1750,1404,5469,1846,398,1200
"PSIP1",15673,16996,8301,10940,13586,14636,13206,8692,2653,8063,7662,4749,8714,2674,1514,5083
"WDHD1",2217,2172,847,1620,1521,1608,1297,908,705,2121,2091,1143,1787,654,343,1112
"FAM107A",14,29,7,15,83,99,16,34,3,15,1,3,10,2,0,9
"STRAP",15826,18534,12095,13491,12982,14648,14245,10085,629,1710,2442,2335,1575,457,607,2361
"ADAMTS7",87,130,84,133,169,203,773,468,25,62,54,52,31,7,14,43
"ADAMTS6",6,5,8,12,15,23,23,26,27,77,127,73,122,50,53,106
"BAZ2A",5092,5680,3432,5271,7242,8444,6487,5114,537,1487,1584,881,1491,468,511,889
"BAZ1A",6239,6767,3558,5449,6735,7899,7201,5267,230,726,535,678,534,152,94,544
"LZTS1",38,34,33,39,46,32,159,106,48,82,40,91,20,16,3,58
"ZNF277",1120,1207,629,900,864,917,1243,724,163,385,406,456,488,154,93,495
"WDR6",4162,6270,2628,3717,4828,5571,5742,4099,410,1105,1596,855,1078,372,349,946
"TREH",73,113,59,70,119,114,114,70,10,26,41,36,20,8,7,26
"SLC2A6",143,241,66,156,213,237,191,149,99,262,334,167,182,71,71,129
"MAP4K5",2323,2373,1434,2282,3568,3902,4556,3208,1122,3185,4064,2409,4449,1428,1180,2752
"MAP4K1",118,115,70,101,144,168,147,110,6,10,7,16,9,4,0,21
"INMT",9,7,1,4,7,4,5,4,0,1,1,0,0,0,0,0
"RASSF1",421,622,301,458,546,623,574,416,79,175,297,148,231,84,138,196
"PKP3",1423,2874,795,1130,1517,1675,1245,894,78,181,302,254,175,65,60,210
"NISCH",3838,5026,2553,3699,4302,4677,6609,4159,322,849,687,799,674,245,157,739
"CELF3",309,463,191,302,365,421,311,216,92,245,387,258,227,67,73,273
"CEP250",2824,3920,2779,3386,5482,5522,6588,4789,196,515,318,335,578,167,111,362
"PTENP1",163,161,71,129,122,140,201,104,9,28,30,38,15,3,5,41
"WBP4",1692,1727,969,1558,1657,1827,1728,1133,116,327,385,270,321,112,67,269
"ABCB8",621,861,420,560,638,738,637,518,144,354,404,266,289,116,99,228
"SEC23IP",5918,6285,3121,4696,4527,5397,4939,3488,936,2683,3704,1847,2338,750,930,2198
"SUPT16H",10749,11900,7305,9638,7538,8875,9967,6266,900,2299,2103,1747,1900,538,404,1456
"ANXA10",4,11,0,5,5,3,3,1,23,38,53,28,56,17,13,21
"CHEK2",1799,2046,1088,1315,1275,1364,1188,726,310,826,1002,568,747,250,242,557
"POLI",1332,1426,682,1159,1756,2191,1833,1281,64,222,255,212,257,98,62,343
"MST1P2",61,87,41,66,137,93,153,68,5,8,18,23,10,4,1,18
"PLPBP",789,1022,582,949,589,668,875,581,459,1379,1187,1300,861,354,146,1061
"AKAP13",1865,2052,1514,2281,2458,2912,3117,2330,351,1012,1377,1045,980,307,415,1022
"AKAP11",4278,4618,2558,3821,4874,5616,5321,3872,270,744,480,671,642,227,96,651
"AKAP10",1600,1847,888,1353,2096,2127,1852,1342,384,987,1157,851,1279,387,246,966
"DDX20",1040,1223,535,801,871,1038,942,700,515,1285,1366,1120,1151,417,197,1163
"TREX2",6,4,1,7,13,9,3,4,2,2,2,5,3,1,1,2
"DUSP10",440,603,276,479,691,848,645,594,48,119,428,146,80,29,129,141
"MRPL3",9398,10003,4485,7282,5902,6904,6194,4183,1486,4112,4645,3867,3436,1146,778,4234
"MST1L",35,46,28,44,68,58,84,42,3,7,11,9,7,3,1,11
"RPL35",22758,31000,14060,18056,16062,19324,18288,11270,2975,7172,7557,7163,6004,2079,1600,6016
"GALNT6",1,1,2,2,0,2,5,1,889,2405,1586,2683,1862,760,153,2510
"RASSF8",412,449,293,455,350,366,443,354,1679,4811,7316,8988,8878,2528,4498,14238
"PRAF2",1747,2922,2233,2961,2753,3024,3273,2156,8,34,31,15,16,7,1,21
"SEC63",15843,17432,9869,13830,15591,17542,16656,11295,905,2741,3161,1936,3107,897,752,2261
"POLG2",467,597,264,328,365,426,372,252,140,349,399,298,303,112,75,317
"HPS5",880,957,507,775,813,1036,884,627,226,495,600,288,456,158,169,268
"PDCD10",3092,2846,1527,2480,3839,4490,3453,2525,446,1260,1446,1105,2036,657,402,1553
"RNF139",1990,2275,1047,1664,1906,2287,2041,1523,573,1655,2441,2027,2318,749,811,2685
"RNF24",880,1129,664,960,2213,2552,1591,1366,246,651,1626,1747,1793,549,937,2276
"CA5B",153,173,115,169,244,272,294,214,67,185,289,212,287,112,174,354
"PADI2",92,144,83,179,80,70,254,144,8,20,51,214,18,6,4,194
"PMF1",727,1097,491,626,734,772,769,538,271,680,926,499,545,168,234,452
"ZHX1",3838,4560,4129,6102,4631,5604,5344,4746,232,716,724,656,768,210,264,607
"GPR176",357,422,209,317,515,720,643,446,438,1113,1793,1353,1218,383,534,1275
"NXPH4",1448,2103,924,1594,2723,2850,2488,1677,23,74,85,79,113,43,18,117
"NXPH3",2,2,26,25,9,19,36,19,3,12,15,20,19,7,14,8
"GPR45",6,11,10,9,2,3,0,2,0,0,1,0,0,0,0,1
"PTGDR2",105,133,53,119,144,200,103,85,49,132,98,136,110,31,22,116
"PACSIN2",5639,7371,3838,5633,6838,7553,6554,4397,121,261,308,175,294,86,67,196
"MAN1B1",2002,3063,1546,1957,2103,2461,2391,1455,244,612,581,626,524,162,121,542
"HRH3",14,21,6,24,31,51,30,34,1,4,3,3,0,1,3,0
"TP53TG1",779,1193,519,737,756,1007,934,560,24,74,38,36,42,25,4,31
"DCTN3",774,1266,515,787,767,901,959,597,216,505,702,533,474,207,122,501
"FILIP1L",0,3,0,4,1,0,0,2,10,33,32,23,22,3,6,25
"XPOT",31899,33033,14635,21602,27294,28966,25826,18572,3517,9717,16515,9698,11833,3627,4073,12486
"CHP1",3669,4535,3544,5567,3070,3300,4621,3092,686,1738,2913,1715,1897,660,608,1544
"SP140",14,15,11,21,15,11,14,6,6,27,67,134,16,7,13,113
"DUSP12",900,1127,501,691,858,980,1013,662,117,287,490,294,341,97,128,295
"SNF8",3329,4078,2863,2972,3076,4054,3655,2362,343,893,1079,831,822,262,228,735
"DDX19B",831,1002,458,771,731,903,1054,691,119,372,522,296,299,111,74,296
"NRM",294,413,182,273,356,386,443,256,148,416,237,358,377,144,41,347
"PRR4",38,44,31,36,17,20,37,22,12,50,38,61,51,19,9,53
"ATXN2L",4652,6734,3025,4955,6354,6729,6281,4520,330,892,1302,717,693,212,395,699
"USP18",505,600,264,448,251,338,368,236,46,90,146,28,36,15,24,21
"KLHL2",801,1048,466,712,961,1158,927,657,68,211,165,116,190,37,67,110
"SYNRG",2352,2667,1438,2299,2956,3487,3972,2630,580,1473,2518,974,1525,543,669,979
"TREX1",204,422,119,203,195,221,203,148,26,54,65,21,32,13,6,16
"KLF12",5,5,6,6,8,9,53,25,102,336,464,455,414,139,132,452
"KLF8",173,175,92,162,160,224,278,233,0,0,2,0,1,1,2,1
"SCN11A",4,5,3,1,3,1,0,3,2,2,5,6,3,0,2,12
"POU6F2",2,4,1,3,2,2,7,5,1,0,2,5,0,0,0,1
"MGAT4B",1655,2396,1009,1502,1922,2242,1903,1418,331,821,1294,1087,827,300,419,983
"PNKP",603,793,345,486,769,870,773,544,92,200,163,158,132,56,44,126
"B4GALT7",462,737,271,443,456,581,543,322,87,241,256,249,191,78,53,231
"SLCO2B1",0,1,2,3,0,0,2,1,0,0,0,1,1,1,0,1
"VPS45",1726,2262,1111,1631,1427,1482,1751,1074,422,1157,1973,928,890,333,369,712
"LYPLA2",819,1271,413,629,1067,1213,947,709,157,360,659,549,260,99,83,442
"PARK7",9383,11902,5533,7500,7138,8786,7268,5048,150,389,389,399,318,108,112,344
"COPE",2131,4164,1411,2062,1868,2211,2159,1391,894,2142,4780,2800,1500,559,975,2654
"RBPJL",1,3,6,5,11,20,17,1,0,2,6,2,4,1,1,1
"ACKR5",9,6,7,8,8,8,9,7,4,6,7,7,4,1,0,2
"ECD",2201,2577,1277,2036,2190,2707,2391,1737,1584,4597,5491,4060,3623,1281,982,3655
"MGAT4A",277,430,213,295,240,263,511,313,30,71,222,188,69,11,101,120
"GPN1",1134,1231,598,960,876,1111,1095,789,652,1773,1942,2408,1442,506,294,2073
"TMC6",795,1156,580,802,1464,1532,1176,860,250,558,608,469,443,168,101,371
"DDX42",10629,12501,7188,9181,11755,13185,11466,8540,879,2318,2389,2389,1813,614,366,2068
"FKBP9",956,1307,687,1108,1013,1120,1696,979,268,732,921,575,916,324,244,670
"STK38",3004,3186,2142,3209,2812,3673,4095,3003,1005,2952,1712,1932,3699,1263,528,2097
"PHB2",8101,10992,4994,7056,7885,8725,7468,5009,1529,3648,3162,3598,2407,894,443,3247
"ACOT7",1045,1487,732,998,683,783,920,594,308,884,1024,974,793,343,222,1002
"PDAP1",8818,13833,8102,8803,10204,10576,9739,6530,288,751,1082,783,672,211,159,735
"TUSC2",730,1009,467,797,735,834,845,543,162,383,473,511,292,99,80,476
"CBX3",14550,14781,7638,12228,13926,15437,16422,11213,1177,3082,3610,2565,3638,1200,1072,3047
"EXOC3",1071,1431,782,1087,1042,1308,1494,1037,38,79,149,114,86,26,17,62
"GABARAP",9913,15168,7852,12903,11833,11770,15057,9498,990,2573,5286,2616,2310,825,1055,2336
"U2AF2",10881,13775,7734,9960,11001,13231,9484,7695,1339,3289,2667,1921,2549,891,632,1802
"OIP5",309,298,157,216,209,263,209,163,96,228,243,235,239,93,75,232
"EXOSC8",1712,2062,698,1076,1253,1374,1321,848,647,1854,1899,997,1426,491,319,879
"SCRG1",4,16,2,5,9,4,15,13,1,2,1,3,13,2,2,3
"RNF13",2469,2714,1660,2041,2460,2930,2238,1659,655,1794,2294,1917,2144,734,537,2255
"MGLL",508,568,260,485,669,787,554,414,517,1261,2593,1896,1498,579,769,2186
"TWF2",506,1270,341,541,634,776,669,483,69,225,201,135,184,69,38,166
"GABARAPL2",1870,2422,1319,1765,1645,2084,2421,1422,237,498,1135,728,590,237,289,635
"SYNPO",59,75,245,361,64,65,344,150,1124,3046,2402,821,2591,913,492,880
"CASC3",6167,7638,3843,5671,6234,7035,7677,4917,486,1395,1551,938,1423,553,272,946
"NID2",10,7,5,15,12,12,8,12,24,91,102,65,99,32,31,81
"COG2",2595,3077,1581,2345,2740,3177,2235,1798,427,1132,1277,1432,1099,328,235,1355
"TFEC",1,0,2,0,1,0,0,0,0,1,7,181,1,2,1,183
"LAMB4",18,25,12,22,10,8,10,6,0,2,2,5,3,2,0,11
"RRAS2",1149,1409,584,941,1150,1161,1191,766,318,955,1290,583,1300,380,489,722
"ITGA11",17,15,13,19,16,14,12,11,23,54,101,107,29,16,19,86
"XRN2",6763,8139,4095,6047,7146,8025,9159,6559,1537,4267,5790,3758,4713,1541,1404,4453
"IKZF3",375,395,156,223,317,364,160,145,61,175,246,203,60,16,10,101
"IKZF2",283,276,120,189,208,221,318,184,93,247,233,324,447,158,96,438
"MRAS",594,761,403,638,668,598,1279,820,108,269,353,266,148,39,34,152
"ATF5",2514,4426,1509,2116,1059,1335,1505,1086,234,654,759,998,545,191,149,1094
"COPZ1",5633,7838,3620,5611,4270,4873,4820,3047,1302,3310,5951,3769,2508,970,930,3472
"COPG1",7294,9323,4401,6857,5386,6229,7314,4621,598,1539,3721,1489,1224,506,726,1411
"RASA3",810,1074,575,838,578,635,818,470,27,75,107,109,70,34,16,117
"PHLDA1",53,83,448,582,64,102,714,483,3797,11601,12714,7540,10694,3338,2607,7617
"MTF2",1172,1179,592,901,1331,1681,1550,1133,212,651,1212,837,684,183,330,862
"HSPA4L",3751,3771,1892,2738,2708,2924,2735,1894,1070,2966,2778,3708,1971,603,389,2999
"DNAJC8",7277,8551,4341,6510,6729,7665,7284,5137,1267,3741,4333,2821,3073,1021,953,2802
"PUF60",3542,5104,2516,2796,3102,4027,2940,2222,1331,3072,3905,2840,1933,723,599,2252
"SCAF8",3459,3465,1754,2696,4072,4693,3784,3027,90,329,275,227,280,80,57,234
"NLGN4Y",616,682,372,510,924,1055,1200,835,47,127,180,98,97,32,52,124
"CEP162",597,558,337,531,547,651,688,530,165,367,361,307,350,127,71,317
"ZNF652",2881,3258,1859,2714,3242,3938,3325,2497,326,1054,1038,1133,1176,380,216,1182
"ZFP30",662,712,379,614,679,801,779,599,1,0,2,0,0,0,0,0
"RHOBTB3",644,652,290,478,1288,1507,1135,814,542,1427,2586,1506,1564,508,484,1383
"COBLL1",6144,6263,2628,4564,6203,7123,3322,2803,202,544,570,281,302,120,115,266
"RNF44",2942,4754,2287,3279,4362,4619,5115,3733,193,490,636,591,438,145,186,698
"DLGAP4",1827,2772,1270,2103,2812,3103,3812,2495,387,1107,1689,1148,1716,529,609,1607
"RAB11FIP2",1476,1499,816,1203,1286,1554,1488,957,365,1046,1080,472,945,330,156,498
"PPM1E",280,339,140,220,150,179,255,163,66,189,208,655,187,62,26,573
"FRMPD1",491,731,199,370,246,276,386,188,3,12,22,31,4,3,1,16
"DOLK",1803,2929,1252,2005,1643,1899,1584,1213,289,824,723,569,412,148,80,411
"VASH1",350,825,264,378,503,584,693,468,170,477,667,565,361,134,129,540
"ZNF507",2667,2757,1558,2331,2389,2844,2575,1739,491,1345,1577,1345,1094,388,239,1399
"AAK1",3843,4555,2727,3756,5165,6100,4529,3560,486,1466,1535,737,1677,492,447,906
"CPEB3",517,512,262,445,409,459,494,313,23,65,120,145,92,30,26,165
"ADNP2",1727,2027,906,1411,2041,2236,2263,1627,478,1424,2057,1647,1197,504,379,1830
"ANKRD26",1330,1139,720,1058,1077,1245,1246,902,65,207,198,158,195,60,26,138
"LMTK2",2507,2828,1749,2482,2957,3214,2921,2031,213,535,638,605,617,182,206,632
"NTNG1",304,439,142,209,121,132,177,114,114,339,591,831,425,157,162,1086
"CHSY1",2008,2408,1223,2007,3385,3601,3489,2331,41,143,131,176,179,48,42,149
"CILK1",4475,4774,2636,3583,3815,4209,5113,3328,823,2246,697,1341,2378,749,315,1689
"ADGRL1",4723,7002,3221,4654,7703,8488,6608,4843,103,234,301,575,176,50,138,454
"NLRP1",5,2,3,4,0,3,4,4,9,16,103,54,7,5,4,54
"FNDC3A",3210,3494,1618,2655,2376,2520,3075,1957,646,1759,4147,2236,1381,498,828,2332
"ATG14",1111,1216,605,938,922,1075,1455,915,430,1074,1334,1028,1268,420,348,1085
"R3HDM2",5292,6424,2964,4202,3957,4176,5448,3235,387,1131,1168,1030,868,284,175,959
"SLITRK3",338,420,246,295,439,573,380,383,2,13,16,48,8,6,11,31
"CNKSR2",503,511,227,404,677,767,620,490,76,211,180,839,208,70,50,1012
"FASTKD2",1686,1766,798,1412,1262,1659,1287,1035,516,1424,1440,1219,1159,429,176,1057
"ZNF510",1229,1230,670,1046,1249,1435,1395,1058,261,709,990,1010,782,229,265,952
"PPP6R1",2462,3282,1520,2278,2868,3720,2709,2180,427,1169,1372,1404,1184,360,454,1129
"NLGN1",133,155,45,111,567,560,481,377,79,234,91,219,194,56,9,198
"SEC31A",10204,12679,7528,11549,8156,9312,12993,8460,1371,3938,9920,3382,4004,1356,2792,3656
"DZIP1",6,5,6,11,5,2,0,1,34,42,31,36,28,16,5,46
"PLEKHA6",2301,2962,1257,1985,1872,1987,2552,1647,222,554,305,276,413,153,73,302
"ENPP4",1239,1337,717,1214,1345,1541,1342,946,510,1523,1697,1640,1694,553,360,1566
"INPP5F",818,930,404,663,984,1058,1036,710,145,509,691,451,382,136,133,446
"MLXIP",3305,5200,2319,3918,5102,5634,4807,3638,156,500,633,674,438,160,126,658
"TRAPPC8",2929,2945,1761,2493,3212,3773,3154,2371,187,452,563,466,459,102,116,413
"MON1B",3058,3922,1757,2491,2471,2910,2870,1872,53,141,253,179,149,37,53,155
"MORC2",4610,5787,3065,4017,5121,5859,6318,4340,153,491,514,627,332,103,93,533
"ANKRD6",302,329,222,292,151,181,343,194,27,110,64,134,67,20,5,130
"ZHX2",1148,1398,486,936,814,972,890,600,362,945,1148,690,1022,290,228,640
"CLSTN1",7883,10174,4670,6670,8293,9661,9943,6533,666,1710,1924,1402,2709,1009,697,1985
"WDR37",820,976,512,689,728,860,918,606,56,156,242,185,137,58,61,201
"ABLIM3",47,106,48,46,14,23,30,16,555,1543,2316,1689,1393,516,337,1667
"FOXJ3",6387,7534,4398,6306,7392,8266,8297,6448,884,2702,3310,2506,2709,889,881,3006
"UBOX5",167,242,106,182,152,193,227,153,64,169,291,301,188,64,59,308
"KHDC4",2667,3134,1632,2390,3448,3880,3193,2249,492,1447,2645,1366,1488,476,842,1442
"ZBTB1",4227,4110,2480,3680,4353,5018,5458,4032,894,2588,4001,2281,6873,1716,2890,3753
"ZNF365",147,196,84,151,81,89,78,74,210,516,121,289,305,104,17,184
"BAHD1",635,872,608,931,762,875,933,702,222,583,485,599,570,202,131,642
"DIS3",1587,1636,845,1155,1348,1588,1410,1045,450,1190,1897,1257,1400,474,611,1457
"RPH3A",1,3,2,3,0,0,10,4,0,1,5,9,0,0,3,11
"CEP164",1548,2099,994,1304,1966,2032,1936,1429,92,292,283,195,205,61,36,136
"DENND3",193,263,208,291,208,224,378,212,66,195,349,368,204,84,45,386
"CARD8",688,736,467,611,541,688,878,657,138,476,430,1184,338,113,83,1448
"ARSG",1108,1356,492,799,1087,1332,1119,682,113,285,657,233,201,74,78,163
"RUFY3",1064,1172,841,1280,862,987,1833,1111,102,338,279,296,206,52,46,226
"BTBD3",941,1106,449,712,1088,1130,1062,725,621,1728,2359,1511,1515,507,647,1358
"SBNO2",2710,3953,1579,2274,2756,3168,2489,1678,538,1300,1453,786,773,320,131,550
"EPN2",2132,2594,1294,1939,2837,3136,2608,1868,384,949,1032,661,956,361,261,706
"TRAK1",2282,2701,1176,1889,2303,2659,2188,1551,274,658,875,665,752,237,270,873
"DHX30",1954,2699,1182,1776,2149,2612,2197,1554,325,814,952,808,582,187,135,593
"SACM1L",3681,3794,2252,3332,3404,3735,3299,2495,381,990,1679,723,1031,354,410,653
"FAN1",3763,4303,1935,2824,2849,3581,2598,1962,571,1441,1464,1550,1129,410,225,1188
"WDR47",774,767,500,764,989,1220,1375,981,284,761,1099,705,987,335,325,793
"RALY",7750,10188,6533,6975,7785,8566,9023,5868,1611,4250,4609,3492,3677,1347,820,3464
"KLRK1",14,13,3,9,15,16,10,6,2,3,3,2,2,0,2,2
